Date : 2024-06-03 18:39:05
Directory : d:\Lenovo\Documents\Project2CP
Total : 288 files,  14732 codes, 3227 comments, 1123 blanks, all 19082 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        123 |      7,022 |      1,571 |      1,028 |      9,621 |
| JavaScript         |        133 |      6,454 |      1,618 |          1 |      8,073 |
| Pug                |         28 |      1,162 |         24 |         90 |      1,276 |
| JSON               |          3 |         84 |          0 |          2 |         86 |
| JSON with Comments |          1 |         10 |         14 |          2 |         26 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        288 |     14,732 |      3,227 |      1,123 |     19,082 |
| . (Files)                                                                                                             |          3 |         81 |         14 |          3 |         98 |
| dist                                                                                                                  |        147 |      7,035 |      1,630 |         46 |      8,711 |
| dist (Files)                                                                                                          |          4 |        217 |         98 |          0 |        315 |
| dist\controller                                                                                                       |         98 |      4,632 |        917 |          1 |      5,550 |
| dist\controller (Files)                                                                                               |         12 |        504 |         70 |          0 |        574 |
| dist\controller\applicationController                                                                                 |          5 |        162 |         28 |          0 |        190 |
| dist\controller\authController                                                                                        |         16 |        547 |        168 |          0 |        715 |
| dist\controller\dashboardController                                                                                   |         13 |        929 |        352 |          0 |      1,281 |
| dist\controller\dealController                                                                                        |          5 |        271 |         25 |          0 |        296 |
| dist\controller\portfolioPostController.ts                                                                            |          6 |        283 |         13 |          0 |        296 |
| dist\controller\postController                                                                                        |          7 |        428 |         18 |          0 |        446 |
| dist\controller\reviewController                                                                                      |          5 |        143 |         40 |          0 |        183 |
| dist\controller\uploadController                                                                                      |          9 |        351 |        103 |          1 |        455 |
| dist\controller\userController                                                                                        |          6 |        283 |         40 |          0 |        323 |
| dist\controller\validationRequestController                                                                           |          1 |          2 |          1 |          0 |          3 |
| dist\controller\workerController                                                                                      |         13 |        729 |         59 |          0 |        788 |
| dist\controller\workerController (Files)                                                                              |          7 |        470 |         46 |          0 |        516 |
| dist\controller\workerController\portfolioPostController.ts                                                           |          6 |        259 |         13 |          0 |        272 |
| dist\models                                                                                                           |         14 |        942 |        360 |          0 |      1,302 |
| dist\routes                                                                                                           |         13 |        541 |         81 |          0 |        622 |
| dist\utils                                                                                                            |          4 |        122 |        162 |          0 |        284 |
| dist\views                                                                                                            |         14 |        581 |         12 |         45 |        638 |
| dist\views (Files)                                                                                                    |          9 |        248 |          9 |         35 |        292 |
| dist\views\emails                                                                                                     |          5 |        333 |          3 |         10 |        346 |
| src                                                                                                                   |        138 |      7,616 |      1,583 |      1,074 |     10,273 |
| src (Files)                                                                                                           |          5 |        199 |         94 |         49 |        342 |
| src\controller                                                                                                        |         88 |      4,832 |        809 |        655 |      6,296 |
| src\controller (Files)                                                                                                |         11 |        612 |         55 |         64 |        731 |
| src\controller\applicationController                                                                                  |          5 |        203 |         23 |         36 |        262 |
| src\controller\authController                                                                                         |         16 |        617 |        184 |         92 |        893 |
| src\controller\dashboardController                                                                                    |         12 |        960 |        325 |        145 |      1,430 |
| src\controller\dealController                                                                                         |          5 |        302 |         22 |         39 |        363 |
| src\controller\portfolioPostController.ts                                                                             |          6 |        326 |          7 |         29 |        362 |
| src\controller\postController                                                                                         |          7 |        465 |         11 |         44 |        520 |
| src\controller\reviewController                                                                                       |          5 |        172 |         35 |         35 |        242 |
| src\controller\uploadController                                                                                       |          8 |        328 |         72 |         60 |        460 |
| src\controller\userController                                                                                         |          6 |        318 |         36 |         47 |        401 |
| src\controller\workerController                                                                                       |          7 |        529 |         39 |         64 |        632 |
| src\models                                                                                                            |         14 |      1,060 |        433 |        119 |      1,612 |
| src\routes                                                                                                            |         13 |        809 |         68 |        175 |      1,052 |
| src\utils                                                                                                             |          4 |        135 |        167 |         31 |        333 |
| src\views                                                                                                             |         14 |        581 |         12 |         45 |        638 |
| src\views (Files)                                                                                                     |          9 |        248 |          9 |         35 |        292 |
| src\views\emails                                                                                                      |          5 |        333 |          3 |         10 |        346 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                              | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\Lenovo\Documents\Project2CP\dist\app.js                                                                            | JavaScript         |         72 |         16 |          0 |         88 |
| d:\Lenovo\Documents\Project2CP\dist\controller\applicationController.js                                               | JavaScript         |         23 |          1 |          0 |         24 |
| d:\Lenovo\Documents\Project2CP\dist\controller\applicationController\applyPost.js                                     | JavaScript         |         52 |          1 |          0 |         53 |
| d:\Lenovo\Documents\Project2CP\dist\controller\applicationController\checkOwnerApplication.js                         | JavaScript         |         49 |          1 |          0 |         50 |
| d:\Lenovo\Documents\Project2CP\dist\controller\applicationController\getMyApplications.js                             | JavaScript         |         28 |         14 |          0 |         42 |
| d:\Lenovo\Documents\Project2CP\dist\controller\applicationController\getMyPostsApplications.js                        | JavaScript         |         11 |         11 |          0 |         22 |
| d:\Lenovo\Documents\Project2CP\dist\controller\applicationController\updateApplication.js                             | JavaScript         |         22 |          1 |          0 |         23 |
